Open,High,Low,Close,Adj Close,Volume,Price Change
1.749286,1.817143,1.687857,1.815,1.815,13104000,0.065714
1.838571,1.882143,1.664286,1.686429,1.686429,19174400,-0.152142
1.687143,1.692143,1.607143,1.642857,1.642857,12731600,-0.044286
1.58,1.632143,1.564286,1.603571,1.603571,17973200,0.023571
1.585,1.606429,1.515714,1.565714,1.565714,18457600,-0.0192859999999999
1.388571,1.555,1.385714,1.553571,1.553571,32225200,0.165
1.56,1.592857,1.508571,1.515,1.515,17542000,-0.0450000000000001
1.526429,1.562143,1.508571,1.532857,1.532857,11001200,0.0064279999999998
1.528571,1.582143,1.528571,1.569286,1.569286,15425200,0.040715
1.583571,1.610714,1.515,1.55,1.55,13018600,-0.033571
1.54,1.560714,1.516429,1.535714,1.535714,8699600,-0.004286
1.528571,1.712857,1.528571,1.632143,1.632143,33681200,0.103572
1.678571,1.724286,1.610714,1.651429,1.651429,18978400,-0.027142
1.658571,1.800714,1.651429,1.777143,1.777143,32257400,0.1185719999999999
1.785,1.849286,1.765714,1.778571,1.778571,18111800,-0.006429
1.792143,1.874286,1.779286,1.825,1.825,26012000,0.0328569999999999
1.828571,1.828571,1.732857,1.767857,1.767857,12356400,-0.0607139999999999
1.854286,1.964286,1.833571,1.94,1.94,39071200,0.0857139999999998
1.921429,1.992857,1.914286,1.982143,1.982143,8202600,0.0607139999999999
1.964286,2.042857,1.878571,1.914286,1.914286,19467000,-0.05
1.928571,1.971429,1.910714,1.959286,1.959286,10750600,0.030715
1.957143,2.002857,1.921429,1.968571,1.968571,9632000,0.0114279999999999
1.955,1.995714,1.907143,1.922143,1.922143,8754200,-0.0328570000000001
1.900714,1.946429,1.858571,1.892143,1.892143,7936600,-0.0085710000000001
1.902857,2.039286,1.892143,2.01,2.01,11862200,0.1071429999999997
1.905,2.001429,1.868571,1.884286,1.884286,17588200,-0.0207140000000001
1.903571,1.928571,1.75,1.82,1.82,13533800,-0.0835709999999998
1.802857,1.82,1.755,1.805714,1.805714,17141600,0.0028570000000001
1.822143,1.824286,1.610714,1.725,1.725,36236200,-0.0971429999999999
1.725714,1.725714,1.640714,1.680714,1.680714,10924200,-0.0449999999999999
1.680714,1.785,1.677143,1.764286,1.764286,11524800,0.0835719999999999
1.775714,1.909286,1.775,1.905,1.905,21898800,0.129286
1.921429,1.953571,1.871429,1.885714,1.885714,10841600,-0.0357150000000001
1.863571,1.935714,1.863571,1.93,1.93,5534200,0.0664289999999998
1.896429,1.962143,1.893571,1.901429,1.901429,7495600,0.0050000000000001
1.910714,1.928571,1.875,1.906429,1.906429,5357800,-0.004285
